Pontuation ID,Total Points,Média do Dividend Yield nos últimos 5 anos > 0.06 (5%),Mediana do Dividend Yield nos últimos 5 anos > 0.06 (5%),Dividend Yield Atual > 0.06 (6%),Dívida Bruta/Patrimônio < 0.5 (50%),Pagamento constante de dividendos nos últimos 5 anos,Dividendos crescentes nos últimos 5 anos,0 < Payout < 1,Preço Atual < Preço Máximo,Segmento válido
TOTS3,5,2,2,-1,2,1,1,1,1,-4
CRPG6,4,2,2,2,2,1,-1,-1,1,-4
CRPG5,4,2,2,2,2,1,-1,-1,1,-4
BAUH4,-2,2,-1,-1,2,-1,1,-1,1,-4
POWE3,3,2,-1,-1,2,-1,1,-1,1,0
ELEK3,-7,2,-1,-1,-1,-1,-1,-1,1,-4
CSAN3,-2,2,2,-1,-1,1,-1,-1,1,-4
ASAI3,-2,2,2,-1,-1,-1,1,-1,1,-4
WHRL3,1,2,2,2,-1,1,-1,-1,1,-4
CRPG3,2,2,2,2,2,-1,-1,-1,1,-4
CPLE5,3,2,2,-1,-1,-1,1,-1,1,0
WHRL4,-1,2,2,2,-1,-1,-1,-1,1,-4
WEGE3,5,2,2,-1,2,1,1,1,1,-4
CEGR3,-4,2,2,-1,-1,-1,-1,-1,1,-4
YDUQ3,-2,2,2,-1,-1,1,-1,-1,1,-4
MSPA4,-9,-1,-1,-1,2,-1,-1,-1,-1,-4
PNVL4,-5,2,-1,-1,-1,-1,-1,1,1,-4
EMBR3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
MOSI3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
BRGE6,6,2,2,-1,2,-1,1,-1,1,0
BRGE7,1,2,-1,-1,2,-1,-1,-1,1,0
BRGE8,6,2,2,-1,2,-1,1,-1,1,0
BRGE11,4,2,2,-1,2,-1,-1,-1,1,0
BRGE5,1,2,-1,-1,2,-1,-1,-1,1,0
ELEK4,-12,-1,-1,-1,-1,-1,-1,-1,-1,-4
BRGE3,-2,-1,-1,-1,2,-1,1,-1,-1,0
MSPA3,-9,-1,-1,-1,2,-1,-1,-1,-1,-4
ELMD3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
PARD3,-4,2,2,-1,-1,-1,-1,-1,1,-4
CRIV4,1,2,2,-1,2,-1,1,-1,1,-4
ALSC3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
CRIV3,-4,2,-1,-1,2,-1,-1,-1,1,-4
RADL3,2,2,2,-1,-1,1,1,1,1,-4
LAND3,-2,2,-1,-1,2,-1,1,-1,1,-4
AESB3,3,2,2,-1,-1,-1,1,-1,1,0
PRNR3,-5,2,-1,-1,-1,-1,1,-1,1,-4
RPAD5,8,2,2,-1,2,1,1,-1,1,0
RPAD6,-2,-1,-1,-1,2,-1,1,-1,-1,0
RPAD3,-2,-1,-1,-1,2,-1,1,-1,-1,0
MERC4,1,2,2,-1,2,1,-1,-1,1,-4
ELET5,3,2,2,-1,-1,-1,1,-1,1,0
RAIL3,-5,2,-1,-1,-1,-1,1,-1,1,-4
SULA3,6,2,2,-1,2,-1,-1,1,1,0
PATI3,-4,2,2,-1,-1,-1,-1,-1,1,-4
SULA4,6,2,2,-1,2,-1,-1,1,1,0
BSEV3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
MYPK3,-2,2,2,-1,-1,1,-1,-1,1,-4
NINJ3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
LOGN3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
PEAB3,3,2,2,-1,2,1,-1,1,1,-4
BRIV3,4,2,2,-1,2,-1,-1,-1,1,0
VSTE3,-4,2,-1,-1,2,-1,-1,-1,1,-4
ORVR3,-5,-1,-1,-1,-1,-1,1,-1,-1,0
PEAB4,3,2,2,-1,2,1,-1,1,1,-4
RLOG3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
CSAB4,4,2,2,-1,2,-1,-1,-1,1,0
PETZ3,1,2,2,-1,2,-1,1,-1,1,-4
CEPE5,1,2,2,-1,-1,-1,-1,-1,1,0
HBSA3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
CEPE6,3,2,2,-1,-1,-1,1,-1,1,0
BIDI4,3,2,-1,-1,2,-1,1,-1,1,0
CEPE3,0,2,-1,-1,-1,-1,1,-1,1,0
DOHL4,-1,2,2,-1,2,-1,-1,-1,1,-4
DOHL3,-2,2,-1,-1,2,-1,1,-1,1,-4
CEAB3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
PGMN3,-2,2,-1,2,-1,-1,1,-1,1,-4
